Sex,Wt1,Wt24,Solids
Male,4.34,11.45,10
Female,3.52,10.55,13
Male,5.14,12.5,15
Female,4.66,12.3,16
Female,4.44,13.1,14
Female,4.64,12.25,8
Female,3.92,12.45,12
Male,4.98,13.4,12
Male,5,12.35,11
Male,3.82,12.6,20
Male,5,15.8,13
Male,4.38,13.05,13
Male,4.82,13.8,10
Male,4.62,13.9,8
Female,4.36,11.3,13
Male,5.02,13.5,5
Female,5,15.25,8
Female,4.46,10.85,14
Male,4.14,12,7
Female,4.16,11.25,14
Female,3.46,11.85,9
Male,4.14,13.4,13
Male,4.8,11.9,7
Male,5,15.1,15
Male,4.12,12.2,6
Male,3.8,12.1,13
Male,4.36,12.95,12
Male,4.94,12.9,12
Male,4.26,14.05,13
Female,3.46,10.25,13
Male,4.1,14.35,20
Female,3.7,11,12
Male,4.48,12.95,7
Male,4.46,13.05,11
Female,3.44,8.76,12
Male,4.58,12.9,8
Female,4.8,12.8,7
Male,4.22,12.4,11
Female,3.66,8.46,12
Female,4.32,11.6,12
Male,3.64,12.1,6
Female,4.84,13.35,4
Female,4.2,13.7,11
Female,3.14,11.55,13
Male,5.88,16.1,13
Female,4.08,11,13
Female,4.54,12.45,11
Male,4.5,14.15,10
Female,4.92,14.3,9
Male,4.12,11.55,11
Male,4.6,13.75,18
Male,5.3,14.1,12
Male,4.48,13.3,13
Female,3.6,9.72,13
Male,4.96,13,17
Male,4.7,12.65,11
Male,4.68,13.6,11
Female,4.08,12.05,12
Female,4.04,10.15,12
Male,4.18,14.3,11
Female,3.72,10.75,9
Female,4.5,12.75,8
Female,3.26,10.8,10
Male,5.08,12.8,12
Male,4.7,12.25,12
Male,5.48,15.3,8
Female,3.84,13.1,12
Male,4.32,10.9,11
Male,4.7,14.5,11
Male,4.08,11.85,15
Female,4.46,11.95,12
Male,4.02,11.75,11
Male,3.88,11.85,15
Male,3.64,13.55,12
Male,4.38,13.05,8
Male,4.74,11.6,11
Male,3.86,13.15,11
Male,4.68,12.5,11
Male,4.64,13.65,11
Female,4.14,10.85,11
Female,4.06,12.95,12
Female,4.5,14.25,11
Female,4.12,12.45,11
Male,3.36,11.65,15
Female,3.46,11.5,9
Male,4.14,11,15
Male,4.24,13.05,11
Female,3.36,12.8,11
Female,4.1,10.6,14
Male,4.78,14.4,6
Male,4.52,13,17
Male,5.02,13.5,11
Male,3.74,10.2,13
Male,3.96,11.6,11
Male,4.3,15.6,10
Female,4.92,11.3,15
Male,4.62,14.5,6
Male,4.9,12.45,11
Male,5.28,17.9,9
Male,5.34,14,12
Female,4.08,13.25,11
Female,5.94,15.75,5
Female,4.08,11.95,8
Female,3.8,11.5,12
Male,5.14,13.25,13
Male,3.5,11.55,12
Female,4.24,10.4,15
Female,4.46,15.95,8
Female,4.46,13.25,22
Female,4,11.55,12
Female,3.64,11.15,12
Female,3.3,9.76,11
Female,3.6,12,12
